text,label,label_id
"Mack, my dedicated GPU shows low performance.",gpu,4
Fix Azure API Management gateway CORS configuration.,api,5
M365 user unable to reset password using Microsoft Authenticator.,authentication,0
BSOD with VIDEO_TDR_FAILURE due to NVIDIA driver crash.,gpu,4
"Mack, I need to disable Windows 11's firewall temporarily.",network,1
Network IP conflict with network printer device,network,1
Windows Update error 0x8024001A (Dependency failed).,package,6
Resolve intermittent network connectivity issues on Windows 10/11.,network,1
Discuss API management.,api,5
Deploy a Terraform infrastructure.,deployment,2
Explain how Mack monitors user authentication.,authentication,0
M365 Azure Blob Storage CORS policy error during web app request.,general,7
VPN client shows 'failed to connect to server' despite network connectivity.,network,1
"Mack, I can't connect to the company network using my iPad with the VPN app.",network,1
Write Kubernetes cluster configuration code.,deployment,2
Windows 11 BitLocker recovery fails with 'Invalid password' error.,authentication,0
Fix corrupted McAfee endpoint security logs.,api,5
"Mack, my monitor's backlight is not working.",general,7
NVIDIA driver blue screen after update,gpu,4
Windows 11 activation status shows 'inGracePeriod' despite valid key,general,7
"Mack, my network adapter is not compatible with my OS version.",network,1
Domain user account locked out.,authentication,0
Windows 7 to Windows 11 migration issues with activation and software compatibility.,general,7
Resolve Azure Private Endpoint IP conflict.,api,5
Outlook 2021 profile corruption causing login loop.,authentication,0
Windows 10 update KB4562936 causes high disk usage.,general,7
Optimize Docker container performance.,deployment,2
"Mack, my external GPU enclosure isn't powering on.",gpu,4
Explain how Mack verifies endpoint security compliance.,api,5
Explain how Mack deploys Azure DevOps release management.,deployment,2
"Outlook 2016 autodiscover fails, preventing profile creation.",general,7
Help me understand NoSQL databases.,database,3
Explain how Mack identifies misconfigured Azure Application Insights API keys.,api,5
"Mack, my company's internal DNS server is not responding.",network,1
Dell desktop won't recognize external GPU via Thunderbolt.,gpu,4
Explain how Mack validates secure Kubernetes node configurations.,deployment,2
Clear corrupted Kubernetes DaemonSet logs.,deployment,2
"Mack, I can't install the company-approved Python version because of dependency conflicts.",package,6
Address performance issues with corporate database queries.,database,3
Fix inconsistent Kubernetes RBAC policy.,deployment,2
Windows 11 update KB5005585 fails with error 0x800F0202 (Reboot).,general,7
Explain how Mack detects failed DFS replication due to network latency.,network,1
Explain how Mack detects network DoS attacks.,network,1
MFA prompt not appearing on Android device.,authentication,0
Explain how Mack identifies misconfigured firewall rules allowing outbound RDP.,network,1
Resolve high I/O wait on storage array.,general,7
Resolve stuck Kubernetes pod deployment.,deployment,2
Resolve Azure AD Connect staging database synchronization error.,database,3
Outlook email authentication failed.,authentication,0
Design a clinical trial results database.,database,3
Resolve failed Azure Active Directory authentication.,authentication,0
Explain how Mack resolves Azure Databricks library dependency resolution errors.,package,6
Resolve incorrect Windows Update driver package.,package,6
"Mack, the network firewall is not allowing inbound connections from a specific IP.",network,1
What is the process for requesting a new laptop?,general,7
Resolve MFA registration failures.,authentication,0
NVIDIA driver blue screen during game play.,gpu,4
Describe Mack's integration with configuration management databases.,database,3
Explain how Mack detects login performance issues.,authentication,0
Optimize SQL Server query execution plan.,database,3
Analyze this deployment rollback.,deployment,2
Clear Symantec Endpoint Protection errors.,api,5
Explain how Mack addresses endpoint encryption compliance.,api,5
VPN client certificate expired and needs renewal.,network,1
Address failed SCCM patch deployment.,deployment,2
Cannot log in to Windows due to smart card certificate error.,authentication,0
Outlook 2016 stuck on 'Loading Headers' for emails from specific senders.,general,7
Resolve issues with Microsoft Endpoint Configuration Manager.,api,5
Outlook 2021 stuck on 'Connecting to Microsoft Exchange' due to virtual machine resource constraints.,general,7
"Mack, the shared network folder permissions are wrong.",network,1
Explain how Mack detects application dependency conflicts.,package,6
Fix corrupted Kubernetes deployment.,deployment,2
Windows activation error 0xC0000218 (The trust relationship between the workstation and primary domain failed) during login.,authentication,0
Resolve 'Event Viewer error 0x80070005' on login.,authentication,0
"Mack, I need to update my corporate security software definitions.",general,7
NVIDIA Container Toolkit driver not working.,gpu,4
Driver for external GPU not working properly.,gpu,4
Windows 10 feature update stuck at 10%,general,7
Explain how Mack diagnoses SQL Server Agent proxy account failures.,database,3
Fix failed Microsoft Endpoint Configuration Manager task sequence.,api,5
Fix authentication failures for users with smart cards on Linux systems.,authentication,0
Verifying device support for Windows Hello biometric authentication.,authentication,0
NVIDIA driver causes display driver initialization failure.,gpu,4
Fix failed software update via Microsoft Endpoint Manager.,api,5
Resolve failed Grafana Tempo API documentation.,api,5
Explain how Mack identifies network traffic filtering rule conflicts.,network,1
"Mack, I can't install the latest NVIDIA driver on my Windows 10 system.",gpu,4
Windows Update error 0x80244022 - Dependency failed.,package,6
Explain how Mack detects misconfigured Kubernetes deployments.,deployment,2
VPN tunnel established but no local network access.,network,1
NVIDIA driver causing system crash during gaming.,gpu,4
Diagnose failed software installation due to missing dependencies.,package,6
Deploy Azure Bastion for secure RDP access.,deployment,2
Lenovo workstation fails to detect external GPU enclosure.,gpu,4
Optimize Exchange Server mailbox database performance.,database,3
Cannot install Windows 10 May 2023 Update due to dependency on KB5000000.,package,6
System restore not working on Windows 11,general,7
"Mack, my USB drive is showing a corrupted file system.",general,7
Lenovo workstation fails to detect external GPU after suspend.,gpu,4
Resolve 'Network path not found' error.,network,1
"Mack, my external GPU is too hot.",gpu,4
Explain how Mack detects high cloud deployment costs.,deployment,2
Resolve 'Error 0x80070540: The user account was not authenticated due to a token expiration error' during authentication.,authentication,0
"Mack, my network shares are mapped incorrectly.",network,1
Design a database view.,database,3
Diagnose slow Active Directory authentication.,authentication,0
Azure AD conditional access for MFA authentication error,authentication,0
Fix SCCM software deployment timeout.,deployment,2
Windows 10 activation error after hardware change.,general,7
Fix corrupted SCCM software package installation logs.,package,6
Configure Azure Spring Cloud application deployment.,deployment,2
Windows service 'Remote Desktop Services' error 1060.,general,7
Explain how Mack ensures endpoint data protection.,api,5
"Mack, I can't install software because the system is missing a required component like DirectX.",general,7
M365 Microsoft Defender ATP endpoint detection and response alerts.,api,5
"Mack, my firewall is blocking a necessary application.",network,1
Network adapter driver update failed.,network,1
Configure Azure Application Insights API key.,api,5
Fix corrupted SCCM OSD driver package.,package,6
Explain how Mack monitors endpoint disk space.,api,5
Explain how Mack evaluates SQL Server memory configuration.,database,3
Resolve Kubernetes PodDisruptionBudget not enforced.,deployment,2
"Mack, my corporate account login keeps timing out.",authentication,0
Explain how Mack identifies broken service dependencies.,package,6
Define Single Sign-On (SSO).,authentication,0
Fix corrupted SQL Server transaction log file.,database,3
Resolve blue screen error with stop code 0x0000001A (IRQL_UNEXPECTED_VALUE).,general,7
"Mack, I keep getting an error about a missing 'vc_redist' package when installing software.",package,6
Address SCCM patch management console error due to database corruption.,database,3
NVIDIA driver compatibility with virtual desktop environment.,gpu,4
Clear SCCM package distribution errors.,package,6
"Mack, I can't install the latest Kubernetes version.",deployment,2
M365 Microsoft Defender for Endpoint quarantining suspicious files detected by behavior monitoring.,api,5
Fix corrupted SQL Server full-text index.,database,3
Address SCCM patch deployment status reporting error.,deployment,2
Explain how Mack identifies database backup retention policy violations.,database,3
NVIDIA Container Toolkit driver conflict.,gpu,4
M365 Microsoft Defender for Endpoint not updating definitions.,api,5
NVIDIA graphics driver crashes upon startup.,gpu,4
Resolve missing DLL dependency error.,package,6
M365 Azure AD conditional access policy blocks all sign-ins.,authentication,0
Resolve issue with failed SCCM software deployment.,deployment,2
Resolve incorrect Azure Load Balancer probe endpoint.,api,5
Fix corrupted SQL Server Agent job execution.,database,3
Explain how Mack detects data theft from Azure SQL Database.,database,3
Address 'SCCM Endpoint Protection Error' due to communication issues with the server.,api,5
Optimize firewall rule performance bottleneck.,network,1
Resolve failed Azure Functions deployment.,deployment,2
Explain how Mack analyzes Exchange database recovery requirements.,database,3
"Mack, I can't connect to the company file server.",general,7
Explain how Mack handles Azure AD conditional access policies.,authentication,0
"Mack, I can't install software because of a missing dependency.",package,6
Explain how Mack manages Azure API Management gateways.,api,5
Resolve 'Service not running' status for SQL Server Agent.,database,3
What is your stance on authentication procedures?,authentication,0
Explain how Mack identifies database backup job failures.,database,3
How is your technology deployed?,deployment,2
Fix corrupted Palo Alto firewall security policy rule.,network,1
Windows Update for drivers fails to install due to dependency issues.,package,6
Windows activation error 0xC004F010 for volume license.,general,7
Outlook unable to download attachments,general,7
"Mack, my external GPU enclosure isn't working.",gpu,4
Explain how Mack identifies banking trojan API hooking.,api,5
Explain how Mack identifies slow database backup verification.,database,3
"Mack, I keep getting the 'Error 0x8024700D' Windows update error.",general,7
"Mack, my company's network bandwidth usage is below expectations.",network,1
Teams meeting screen sharing requires PIN from organizer.,general,7
Fix PostgreSQL logical replication lag.,database,3
Explain how Mack deploys security incident response outsourcing dashboards.,deployment,2
NVIDIA driver blue screen error.,gpu,4
